Port,State,All Calls,All Capacity
Houston,TX,9288,355780282
Tampa,FL,905,30427335
Ingleside,TX,283,13339662
Sabine-Neches Waterway,TX,2232,135192385
Freeport,TX,677,30242145
Point Comfort,TX,292,11841430
South Louisiana,LA,2295,127246235
Boston,MA,536,23967366
Corpus Christi,TX,1012,59819641
Philadelphia/Delaware River Ports,PA,2247,98258357
Pascagoula,MS,637,40034535
Greater Baton Rouge,LA,839,38554611
San Francisco Bay Area,CA,4435,269591700
New Orleans,LA,2102,95269566
Lake Charles,LA,812,50647380
Guayanilla,PR,168,7861674
San Juan,PR,1265,26449567
Galveston,TX,806,24653266
Hampton Roads,VA,3155,186748690
Columbia River,OR,2238,99070358
Ferndale,WA,102,12054891
Hilo,HI,23,286724
Kahului,HI,29,352273
Nikiski,AK,80,4208408
Port Angeles,WA,359,35440147
Providence,RI,159,6527443
Charleston,SC,1933,97026810
Honolulu,HI,608,23735937
Port Manatee,FL,193,4361489
Portsmouth,NH,71,2497025
Wilmington,NC,499,17729969
Albany,NY,28,491499
Anacortes,WA,15,564349
Anchorage,AK,216,5170916
Baltimore,MD,2012,95847446
Bellingham,WA,13,341441
Brownsville,TX,189,8027743
Brunswick,GA,393,8105394
Bucksport,ME,12,454490
Cherry Point Refinery,WA,248,26138862
Coos Bay,OR,51,2159509
Davisville,RI,56,962678
Drift River Terminal,AK,7,324358
Dutch Harbor,AK,328,7534100
Eastport,ME,19,282923
El Segundo Offshore Oil Terminal,CA,324,30759980
Everett,WA,91,2683558
Fall River,MA,9,19881
Fernandina,FL,105,1123581
Galveston Lightering Area,TX,979,133960483
Grays Harbor,WA,14,588544
Gulfport,MS,208,3460675
Jacksonville,FL,1747,50413355
Kalaeloa (Barbers Point),HI,206,14639766
Kenai,AK,6,277416
Kodiak,AK,59,1261521
Las Mareas,PR,5,350185
Louisiana Offshore Oil Port,LA,304,73991921
Manchester,WA,24,1329698
March Point,WA,282,26061146
Mayaguez,PR,9,40638
Miami,FL,1915,40823577
Mobile,AL,1251,54348192
Morehead City,NC,112,3025713
New Haven,CT,103,4595780
New London,CT,21,900375
New York/New Jersey,NY,4017,199617396
Olympia,WA,29,1026144
Palm Beach,FL,687,4212470
Panama City,FL,7,259740
Pensacola,FL,30,657111
Point Wells,WA,13,606295
Ponce,PR,51,888871
Port Canaveral,FL,12,280773
Port Everglades,FL,2312,55185013
Port Hueneme,CA,351,6068157
Portland,ME,248,15895419
Red Dog Mine,AK,30,1911521
San Diego,CA,327,5910465
Savannah,GA,2697,135746288
Searsport,ME,103,3598851
Seattle,WA,930,56241300
South Sabine Point Lightering Area,TX,160,19850527
Southern California Lightering Area,CA,317,50012762
Southwest Pass Lightering Area,LA,281,37054752
Tacoma,WA,1110,53553402
Texas City,TX,1077,64103652
Valdez,AK,263,33418667
Wilmington,DE,367,9249699
Long Beach,CA,2668,194709896
Los Angeles,CA,1962,115782283
